expected_class,predicted_common,predicted_scientific,count,match_level,review_decision
eastern_grey_kangaroo,vervet monkey,chlorocebus pygerythrus,3,class,different
eastern_grey_kangaroo,thomson's gazelle,eudorcas thomsonii,3,class,different
eastern_grey_kangaroo,domestic sheep,ovis aries,3,class,different
eastern_grey_kangaroo,eastern gray squirrel,sciurus carolinensis,3,class,different
eastern_grey_kangaroo,human,homo sapiens,2,class,skip
eastern_grey_kangaroo,black-tailed jackrabbit,lepus californicus,2,class,different
eastern_grey_kangaroo,pronghorn,antilocapra americana,2,class,different
eastern_grey_kangaroo,kinda baboon,papio kindae,1,class,different
eastern_grey_kangaroo,grey wolf,canis lupus,1,class,different
eastern_grey_kangaroo,moose,alces alces,1,class,different
eastern_grey_kangaroo,lion,panthera leo,1,class,different
eastern_grey_kangaroo,guenther's dik-dik,madoqua guentheri,1,class,different
eastern_grey_kangaroo,common wildebeest,connochaetes taurinus,1,class,different
eastern_grey_kangaroo,baboon species,papio,1,class,skip
eastern_grey_kangaroo,american bison,bison bison,1,class,different
eastern_grey_kangaroo,dromedary camel,camelus dromedarius,1,class,different
eastern_grey_kangaroo,common duiker,sylvicapra grimmia,1,class,different
eastern_grey_kangaroo,pampas deer,ozotoceros bezoarticus,1,class,different
eastern_grey_kangaroo,eastern fox squirrel,sciurus niger,1,class,different
eastern_grey_kangaroo,blue sheep,pseudois nayaur,1,class,different
eastern_grey_kangaroo,puma,puma concolor,1,class,different
eastern_grey_kangaroo,primate,,1,class,skip
eastern_grey_kangaroo,olive baboon,papio anubis,1,class,different
eastern_grey_kangaroo,common fallow deer,dama dama,1,class,different
capybara,white-tailed deer,odocoileus virginianus,50,class,different
capybara,domestic cattle,bos taurus,38,class,different
capybara,nutria,myocastor coypus,30,order,lookalike
capybara,wild boar,sus scrofa,25,class,different
capybara,arizona black-tailed prairie dog,cynomys ludovicianus,23,order,different
capybara,red deer,cervus elaphus,11,class,different
capybara,american black bear,ursus americanus,9,class,different
capybara,domestic cat,felis catus,7,class,different
capybara,eastern gray squirrel,sciurus carolinensis,6,order,different
capybara,brown bear,ursus arctos,5,class,different
capybara,domestic horse,equus caballus,5,class,different
capybara,woodchuck,marmota monax,5,order,different
capybara,northern raccoon,procyon lotor,4,class,different
capybara,sika deer,cervus nippon,4,class,different
capybara,domestic goat,capra aegagrus hircus,4,class,different
capybara,elk,cervus canadensis,3,class,different
capybara,mule deer,odocoileus hemionus,3,class,different
capybara,lowland tapir,tapirus terrestris,3,class,different
capybara,central american agouti,dasyprocta punctata,3,order,lookalike
capybara,north american river otter,lontra canadensis,3,class,different
capybara,white-lipped peccary,tayassu pecari,3,class,different
capybara,eurasian red squirrel,sciurus vulgaris,3,order,different
capybara,common warthog,phacochoerus africanus,2,class,different
capybara,california ground squirrel,otospermophilus beecheyi,2,order,different
capybara,eastern fox squirrel,sciurus niger,2,order,different
capybara,american bison,bison bison,1,class,different
capybara,black-fronted duiker,cephalophus nigrifrons,1,class,different
capybara,yellow-bellied marmot,marmota flaviventris,1,order,different
capybara,takin,budorcas taxicolor,1,class,different
capybara,yellow-throated marten,martes flavigula,1,class,different
capybara,northern chamois,rupicapra rupicapra,1,class,different
capybara,fisher,pekania pennanti,1,class,different
capybara,mongolian marmot,marmota sibirica,1,order,different
capybara,rodent,,1,order,skip
capybara,giant otter,pteronura brasiliensis,1,class,different
capybara,vervet monkey,chlorocebus pygerythrus,1,class,different
capybara,kinda baboon,papio kindae,1,class,different
capybara,american mink,neovison vison,1,class,different
capybara,bushpig,potamochoerus larvatus,1,class,different
pronghorn,white-tailed deer,odocoileus virginianus,90,order,lookalike
pronghorn,thomson's gazelle,eudorcas thomsonii,24,order,lookalike
pronghorn,impala,aepyceros melampus,15,order,lookalike
pronghorn,mule deer,odocoileus hemionus,13,order,lookalike
pronghorn,red deer,cervus elaphus,12,order,lookalike
pronghorn,springbok,antidorcas marsupialis,7,order,lookalike
pronghorn,guenther's dik-dik,madoqua guentheri,6,order,lookalike
pronghorn,grant's gazelle,nanger granti,3,order,lookalike
pronghorn,domestic cattle,bos taurus,3,order,lookalike
pronghorn,domestic dog,canis familiaris,2,class,different
pronghorn,european roe deer,capreolus capreolus,2,order,lookalike
pronghorn,puku,kobus vardonii,2,order,lookalike
pronghorn,dik-dik species,madoqua,1,order,skip
pronghorn,odocoileus species,odocoileus,1,order,skip
pronghorn,black-tailed jackrabbit,lepus californicus,1,class,different
pronghorn,human,homo sapiens,1,class,skip
pronghorn,elk,cervus canadensis,1,order,lookalike
pronghorn,domestic horse,equus caballus,1,class,different
pronghorn,plains zebra,equus quagga,1,class,different
pronghorn,domestic goat,capra aegagrus hircus,1,order,lookalike
impala,white-tailed deer,odocoileus virginianus,167,order,lookalike
impala,red deer,cervus elaphus,5,order,lookalike
impala,plains zebra,equus quagga,4,class,different
impala,mule deer,odocoileus hemionus,4,order,lookalike
impala,human,homo sapiens,3,class,skip
impala,pronghorn,antilocapra americana,3,order,lookalike
impala,odocoileus species,odocoileus,1,order,skip
impala,european roe deer,capreolus capreolus,1,order,lookalike
impala,vervet monkey,chlorocebus pygerythrus,1,class,skip
impala,kinda baboon,papio kindae,1,class,skip
impala,pampas deer,ozotoceros bezoarticus,1,order,lookalike
domestic_sheep,white-tailed deer,odocoileus virginianus,59,order,lookalike
domestic_sheep,mule deer,odocoileus hemionus,26,order,lookalike
domestic_sheep,red deer,cervus elaphus,19,order,lookalike
domestic_sheep,domestic dog,canis familiaris,18,class,different
domestic_sheep,domestic horse,equus caballus,15,class,different
domestic_sheep,wild boar,sus scrofa,10,order,lookalike
domestic_sheep,domestic cat,felis catus,9,class,different
domestic_sheep,coyote,canis latrans,7,class,different
domestic_sheep,eastern gray squirrel,sciurus carolinensis,5,class,different
domestic_sheep,lion,panthera leo,5,class,different
domestic_sheep,sika deer,cervus nippon,3,order,lookalike
domestic_sheep,common warthog,phacochoerus africanus,2,order,lookalike
domestic_sheep,european roe deer,capreolus capreolus,2,order,lookalike
domestic_sheep,elk,cervus canadensis,2,order,lookalike
domestic_sheep,american black bear,ursus americanus,2,class,different
domestic_sheep,hylobatidae family,,2,class,skip
domestic_sheep,odocoileus species,odocoileus,1,order,lookalike
domestic_sheep,eastern cottontail,sylvilagus floridanus,1,class,different
domestic_sheep,african elephant,loxodonta africana,1,class,different
domestic_sheep,human,homo sapiens,1,class,skip
domestic_sheep,brush-tailed rock wallaby,petrogale penicillata,1,class,different
domestic_sheep,canis species,canis,1,class,skip
domestic_sheep,vicugna species,vicugna,1,order,lookalike
domestic_sheep,red-necked wallaby,macropus rufogriseus,1,class,different
domestic_sheep,arizona black-tailed prairie dog,cynomys ludovicianus,1,class,different
domestic_sheep,red fox,vulpes vulpes,1,class,different
domestic_sheep,northern raccoon,procyon lotor,1,class,different
common_wildebeest,domestic horse,equus caballus,42,class,different
common_wildebeest,white-tailed deer,odocoileus virginianus,34,order,lookalike
common_wildebeest,plains zebra,equus quagga,23,class,different
common_wildebeest,red deer,cervus elaphus,14,order,lookalike
common_wildebeest,mule deer,odocoileus hemionus,10,order,lookalike
common_wildebeest,elk,cervus canadensis,9,order,lookalike
common_wildebeest,common warthog,phacochoerus africanus,5,order,lookalike
common_wildebeest,dromedary camel,camelus dromedarius,4,order,lookalike
common_wildebeest,moose,alces alces,2,order,lookalike
common_wildebeest,african elephant,loxodonta africana,2,class,different
common_wildebeest,giraffe,giraffa camelopardalis,2,order,lookalike
common_wildebeest,pronghorn,antilocapra americana,1,order,lookalike
common_wildebeest,przewalski's horse,equus ferus,1,class,different
common_wildebeest,human,homo sapiens,1,class,skip
common_wildebeest,domestic donkey,equus asinus,1,class,different
common_wildebeest,mountain zebra,equus zebra,1,class,different
greater_kudu,white-tailed deer,odocoileus virginianus,88,order,lookalike
greater_kudu,mule deer,odocoileus hemionus,18,order,lookalike
greater_kudu,red deer,cervus elaphus,11,order,lookalike
greater_kudu,plains zebra,equus quagga,8,class,different
greater_kudu,lion,panthera leo,1,class,different
greater_kudu,domestic horse,equus caballus,1,class,different
greater_kudu,elk,cervus canadensis,1,order,lookalike
greater_kudu,odocoileus species,odocoileus,1,order,lookalike
greater_kudu,dromedary camel,camelus dromedarius,1,order,different
greater_kudu,european roe deer,capreolus capreolus,1,order,lookalike
greater_kudu,common fallow deer,dama dama,1,order,lookalike
greater_kudu,giraffe,giraffa camelopardalis,1,order,different
greater_kudu,mountain zebra,equus zebra,1,class,different
greater_kudu,grevy's zebra,equus grevyi,1,class,different
greater_kudu,sambar,rusa unicolor,1,order,lookalike
greater_kudu,domestic dog,canis familiaris,1,class,different
elephant_seal,domestic cattle,bos taurus,47,no_match,different
elephant_seal,human,homo sapiens,20,no_match,skip
elephant_seal,lion,panthera leo,17,no_match,different
elephant_seal,common wildebeest,connochaetes taurinus,14,no_match,different
elephant_seal,giant otter,pteronura brasiliensis,9,no_match,different
elephant_seal,lowland tapir,tapirus terrestris,4,no_match,different
elephant_seal,african elephant,loxodonta africana,4,no_match,different
elephant_seal,domestic sheep,ovis aries,3,no_match,different
elephant_seal,common eland,tragelaphus oryx,2,no_match,different
elephant_seal,sika deer,cervus nippon,1,no_match,different
elephant_seal,hippopotamus,hippopotamus amphibius,1,no_match,different
elephant_seal,coyote,canis latrans,1,no_match,different
elephant_seal,arizona black-tailed prairie dog,cynomys ludovicianus,1,no_match,different
elephant_seal,african buffalo,syncerus caffer,1,no_match,different
african_wild_dog,domestic cattle,bos taurus,30,class,different
african_wild_dog,spotted hyaena,crocuta crocuta,21,order,lookalike
african_wild_dog,domestic goat,capra aegagrus hircus,12,class,different
african_wild_dog,mule deer,odocoileus hemionus,7,class,different
african_wild_dog,domestic sheep,ovis aries,7,class,different
african_wild_dog,white-tailed deer,odocoileus virginianus,6,class,different
african_wild_dog,wild goat,capra aegagrus,5,class,different
african_wild_dog,wild boar,sus scrofa,5,class,different
african_wild_dog,red deer,cervus elaphus,4,class,different
african_wild_dog,plains zebra,equus quagga,4,class,different
african_wild_dog,domestic horse,equus caballus,3,class,different
african_wild_dog,bobcat,lynx rufus,3,order,lookalike
african_wild_dog,jaguar,panthera onca,3,order,lookalike
african_wild_dog,elk,cervus canadensis,2,class,different
african_wild_dog,human,homo sapiens,2,class,skip
african_wild_dog,snow leopard,panthera uncia,1,order,lookalike
african_wild_dog,blue sheep,pseudois nayaur,1,class,different
african_wild_dog,baboon species,papio,1,class,skip
african_wild_dog,domestic cat,felis catus,1,order,lookalike
african_wild_dog,puku,kobus vardonii,1,class,different
african_wild_dog,nutria,myocastor coypus,1,class,different
african_wild_dog,common wildebeest,connochaetes taurinus,1,class,different
african_wild_dog,takin,budorcas taxicolor,1,class,different
african_wild_dog,lion,panthera leo,1,order,lookalike
african_wild_dog,african buffalo,syncerus caffer,1,class,different
african_wild_dog,serval,leptailurus serval,1,order,lookalike
eared_seals,domestic cattle,bos taurus,42,no_match,skip
eared_seals,human,homo sapiens,32,no_match,skip
eared_seals,common wildebeest,connochaetes taurinus,17,no_match,skip
eared_seals,giant otter,pteronura brasiliensis,14,no_match,skip
eared_seals,lion,panthera leo,4,no_match,skip
eared_seals,coyote,canis latrans,3,no_match,skip
eared_seals,golden mantled ground squirrel,callospermophilus lateralis,2,no_match,skip
eared_seals,mule deer,odocoileus hemionus,2,no_match,skip
eared_seals,arizona black-tailed prairie dog,cynomys ludovicianus,1,no_match,skip
eared_seals,american beaver,castor canadensis,1,no_match,skip
eared_seals,mouflon,ovis orientalis,1,no_match,skip
eared_seals,white-tailed deer,odocoileus virginianus,1,no_match,skip
eared_seals,domestic sheep,ovis aries,1,no_match,skip
eared_seals,north american river otter,lontra canadensis,1,no_match,skip
eared_seals,domestic horse,equus caballus,1,no_match,skip
eared_seals,bobcat,lynx rufus,1,no_match,skip
eared_seals,lowland tapir,tapirus terrestris,1,no_match,skip
eared_seals,common eland,tragelaphus oryx,1,no_match,skip
eared_seals,domestic dog,canis familiaris,1,no_match,skip
eared_seals,topi,damaliscus lunatus,1,no_match,skip
dromedary_camel,domestic cattle,bos taurus,42,order,different
dromedary_camel,domestic horse,equus caballus,18,class,different
dromedary_camel,red deer,cervus elaphus,17,order,different
dromedary_camel,mule deer,odocoileus hemionus,11,order,different
dromedary_camel,white-tailed deer,odocoileus virginianus,8,order,different
dromedary_camel,human,homo sapiens,7,class,skip
dromedary_camel,wild goat,capra aegagrus,5,order,different
dromedary_camel,lion,panthera leo,4,class,different
dromedary_camel,plains zebra,equus quagga,4,class,different
dromedary_camel,domestic dog,canis familiaris,3,class,different
dromedary_camel,bighorn sheep,ovis canadensis,3,order,different
dromedary_camel,common wildebeest,connochaetes taurinus,2,order,different
dromedary_camel,impala,aepyceros melampus,2,order,different
dromedary_camel,przewalski's horse,equus ferus,2,class,different
dromedary_camel,moose,alces alces,2,order,different
dromedary_camel,domestic goat,capra aegagrus hircus,2,order,different
dromedary_camel,elk,cervus canadensis,2,order,different
dromedary_camel,domestic donkey,equus asinus,2,class,different
dromedary_camel,hartebeest,alcelaphus buselaphus,2,order,different
dromedary_camel,grevy's zebra,equus grevyi,1,class,different
dromedary_camel,cervidae family,,1,order,skip
dromedary_camel,pronghorn,antilocapra americana,1,order,different
dromedary_camel,olive baboon,papio anubis,1,class,skip
dromedary_camel,giraffe,giraffa camelopardalis,1,order,different
baboon_genus,white-tailed deer,odocoileus virginianus,10,class,different
baboon_genus,domestic cattle,bos taurus,9,class,different
baboon_genus,domestic cat,felis catus,7,class,different
baboon_genus,wild boar,sus scrofa,7,class,different
baboon_genus,human,homo sapiens,5,order,skip
baboon_genus,arizona black-tailed prairie dog,cynomys ludovicianus,5,class,different
baboon_genus,eastern gray squirrel,sciurus carolinensis,4,class,different
baboon_genus,domestic dog,canis familiaris,4,class,different
baboon_genus,coyote,canis latrans,4,class,different
baboon_genus,giant anteater,myrmecophaga tridactyla,3,class,different
baboon_genus,brush-tailed rock wallaby,petrogale penicillata,3,class,different
baboon_genus,impala,aepyceros melampus,3,class,different
baboon_genus,collared peccary,pecari tajacu,2,class,different
baboon_genus,bobcat,lynx rufus,2,class,different
baboon_genus,spotted hyaena,crocuta crocuta,2,class,different
baboon_genus,american black bear,ursus americanus,2,class,different
baboon_genus,woodchuck,marmota monax,2,class,different
baboon_genus,red deer,cervus elaphus,2,class,different
baboon_genus,yellow-bellied marmot,marmota flaviventris,2,class,different
baboon_genus,black-and-gold howler monkey,alouatta caraya,2,order,lookalike
baboon_genus,eastern fox squirrel,sciurus niger,2,class,different
baboon_genus,kangaroo family,,1,class,skip
baboon_genus,northern chamois,rupicapra rupicapra,1,class,different
baboon_genus,fisher,pekania pennanti,1,class,different
baboon_genus,takin,budorcas taxicolor,1,class,different
baboon_genus,african buffalo,syncerus caffer,1,class,different
baboon_genus,northern raccoon,procyon lotor,1,class,different
baboon_genus,eurasian red squirrel,sciurus vulgaris,1,class,different
baboon_genus,red squirrel,tamiasciurus hudsonicus,1,class,different
baboon_genus,capra species,capra,1,class,skip
baboon_genus,golden mantled ground squirrel,callospermophilus lateralis,1,class,different
baboon_genus,waterbuck,kobus ellipsiprymnus,1,class,different
baboon_genus,brown bear,ursus arctos,1,class,different
baboon_genus,domestic goat,capra aegagrus hircus,1,class,different
baboon_genus,red-rumped agouti,dasyprocta leporina,1,class,different
baboon_genus,common warthog,phacochoerus africanus,1,class,different
baboon_genus,tufted deer,elaphodus cephalophus,1,class,different
baboon_genus,capybara,hydrochoerus hydrochaeris,1,class,different
baboon_genus,lion,panthera leo,1,class,different
common_eland,white-tailed deer,odocoileus virginianus,48,order,lookalike
common_eland,red deer,cervus elaphus,12,order,lookalike
common_eland,domestic horse,equus caballus,11,class,different
common_eland,plains zebra,equus quagga,9,class,different
common_eland,pronghorn,antilocapra americana,9,order,lookalike
common_eland,human,homo sapiens,4,class,skip
common_eland,przewalski's horse,equus ferus,2,class,different
common_eland,african elephant,loxodonta africana,2,class,different
common_eland,mule deer,odocoileus hemionus,2,order,lookalike
common_eland,common fallow deer,dama dama,1,order,lookalike
common_eland,lion,panthera leo,1,class,different
common_eland,domestic donkey,equus asinus,1,class,different
common_eland,northern plains gray langur,semnopithecus entellus,1,class,skip
common_eland,elk,cervus canadensis,1,order,lookalike
common_eland,dromedary camel,camelus dromedarius,1,order,lookalike
wild_boar,domestic cattle,bos taurus,33,order,lookalike
wild_boar,white-tailed deer,odocoileus virginianus,17,order,lookalike
wild_boar,white-lipped peccary,tayassu pecari,7,order,lookalike
wild_boar,spotted hyaena,crocuta crocuta,4,class,different
wild_boar,capybara,hydrochoerus hydrochaeris,3,class,different
wild_boar,arizona black-tailed prairie dog,cynomys ludovicianus,3,class,different
wild_boar,domestic dog,canis familiaris,3,class,different
wild_boar,european roe deer,capreolus capreolus,2,order,lookalike
wild_boar,collared peccary,pecari tajacu,2,order,lookalike
wild_boar,eastern gray squirrel,sciurus carolinensis,2,class,different
wild_boar,sika deer,cervus nippon,2,order,lookalike
wild_boar,human,homo sapiens,2,class,skip
wild_boar,common wildebeest,connochaetes taurinus,2,order,lookalike
wild_boar,south american coati,nasua nasua,1,class,different
wild_boar,common long-tailed macaque,macaca fascicularis,1,class,different
wild_boar,coyote,canis latrans,1,class,different
wild_boar,vervet monkey,chlorocebus pygerythrus,1,class,different
wild_boar,eurasian red squirrel,sciurus vulgaris,1,class,different
wild_boar,domestic goat,capra aegagrus hircus,1,order,lookalike
wild_boar,nutria,myocastor coypus,1,class,different
wild_boar,wild goat,capra aegagrus,1,order,lookalike
wild_boar,reeves' muntjac,muntiacus reevesi,1,order,lookalike
wild_boar,giant anteater,myrmecophaga tridactyla,1,class,different
wild_boar,red fox,vulpes vulpes,1,class,different
wild_boar,american bison,bison bison,1,order,lookalike
wild_boar,lion,panthera leo,1,class,different
wild_boar,elk,cervus canadensis,1,order,lookalike
