common_name,scientific_name,level,total_images,commercially_safe,cc0,cc_by,cc_by_nc,cc_by_sa,cc_by_nd,cc_by_nc_sa,cc_by_nc_nd,other
chimpanzee,pan troglodytes,species,2648,365,89,276,2123,13,0,22,125,0
thomson's gazelle,eudorcas thomsonii,species,2633,285,70,215,2203,8,3,33,101,0
grant's gazelle,nanger granti,species,2576,372,43,329,2009,9,3,43,140,0
quokka,setonix brachyurus,species,2533,301,34,267,1939,16,1,171,105,0
kinkajou,potos flavus,species,2416,365,72,293,1918,23,17,32,61,0
sable antelope,hippotragus niger,species,2397,294,84,210,1900,89,6,24,84,0
serval,leptailurus serval,species,2365,224,25,199,1999,18,17,16,91,0
eurasian lynx,lynx lynx,species,2330,387,56,331,1806,14,11,36,76,0
roan antelope,hippotragus equinus,species,2242,159,45,114,1891,77,2,33,80,0
european bison,bison bonasus,species,2233,308,50,258,1869,5,6,33,12,0
water deer,hydropotes inermis,species,2171,194,18,176,1763,3,1,112,98,0
pangolin family,manidae,family,2138,119,13,106,1933,0,0,16,70,0
kob,kobus kob,species,2073,203,17,186,1747,6,0,15,102,0
bat-eared fox,otocyon megalotis,species,2070,257,41,216,1609,73,0,38,93,0
wild cat,felis silvestris,species,1981,236,15,221,1657,10,9,46,23,0
red panda,ailurus fulgens,species,1971,215,21,194,1643,19,0,62,32,0
walrus,odobenus rosmarus,species,1928,274,74,200,1390,2,0,9,253,0
spectacled bear,tremarctos ornatus,species,1891,272,62,210,1497,8,4,39,71,0
aardvark,orycteropus afer,species,1887,107,12,95,1326,195,160,39,60,0
bushbuck,tragelaphus scriptus,species,1767,73,7,66,1626,6,0,6,56,0
wolverine,gulo gulo,species,1737,181,13,168,1402,15,0,6,133,0
maned wolf,chrysocyon brachyurus,species,1545,292,14,278,1131,26,0,26,70,0
patas monkey,erythrocebus patas,species,1491,128,23,105,1282,6,0,13,62,0
honey badger,mellivora capensis,species,1479,134,30,104,1190,62,2,18,73,0
african civet,civettictis civetta,species,1419,95,13,82,1214,43,1,4,62,0
black wildebeest,connochaetes gnou,species,1389,117,21,96,1080,120,17,22,33,0
leopard cat,prionailurus bengalensis,species,1378,162,2,160,1165,7,3,24,17,0
yak,bos grunniens,species,1284,204,42,162,1004,22,11,19,24,0
sloth bear,melursus ursinus,species,1254,207,10,197,984,26,0,10,27,0
grevy's zebra,equus grevyi,species,1158,157,5,152,913,8,3,38,39,0
snow leopard,panthera uncia,species,1086,111,5,106,908,8,7,11,41,0
sun bear,helarctos malayanus,species,1084,121,24,97,890,17,0,18,38,0
gerenuk,litocranius walleri,species,1054,106,23,83,820,1,1,43,83,0
giant panda,ailuropoda melanoleuca,species,1025,121,25,96,865,7,0,13,19,0
brown hyaena,parahyaena brunnea,species,1003,114,34,80,787,40,16,5,41,0
dhole,cuon alpinus,species,952,196,30,166,706,23,0,8,19,0
callicebus genus,callicebus,genus,902,80,0,80,722,23,0,37,40,0
asiatic black bear,ursus thibetanus,species,841,182,8,174,564,12,3,14,66,0
striped hyaena,hyaena hyaena,species,818,80,3,77,706,3,0,6,23,0
red river hog,potamochoerus porcus,species,789,72,1,71,663,3,0,7,44,0
red brocket,mazama americana,species,780,105,6,99,651,5,0,11,8,0
asiatic wild ass,equus hemionus,species,756,132,0,132,555,41,1,16,11,0
bongo,tragelaphus eurycerus,species,696,57,4,53,604,3,0,10,22,0
cephalophus species,cephalophus,genus,668,35,3,32,623,0,0,0,10,0
mangabeys genus,cercocebus,genus,590,51,7,44,441,0,0,3,95,0
saiga,saiga tatarica,species,560,81,50,31,458,7,0,8,6,0
kirk's dik-dik,madoqua kirkii,species,501,84,20,64,377,3,1,11,25,0
binturong,arctictis binturong,species,463,50,2,48,392,11,0,8,2,0
malay tapir,tapirus indicus,species,440,68,6,62,345,7,0,12,8,0
fossa,cryptoprocta ferox,species,433,69,3,66,274,22,6,27,35,0
clouded leopard,neofelis nebulosa,species,268,91,3,88,157,6,1,5,8,0
aye-aye,daubentonia madagascariensis,species,236,39,10,29,173,0,0,0,24,0
hog badger genus,arctonyx,genus,216,11,0,11,197,0,0,6,2,0
giant armadillo,priodontes maximus,species,213,24,5,19,178,1,0,2,8,0
drill,mandrillus leucophaeus,species,143,21,0,21,118,0,0,4,0,0
mouflon,ovis orientalis,species,3,0,0,0,3,0,0,0,0,0
aardwolf,proteles cristata,species,0,0,0,0,0,0,0,0,0,0
american mink,neovison vison,species,0,0,0,0,0,0,0,0,0,0
black-backed jackal,canis mesomelas,species,0,0,0,0,0,0,0,0,0,0
dingo,canis lupus dingo,species,0,0,0,0,0,0,0,0,0,0
domestic goat,capra aegagrus hircus,species,0,0,0,0,0,0,0,0,0,0
domestic pig,sus scrofa scrofa,species,0,0,0,0,0,0,0,0,0,0
human,homo sapiens,species,0,0,0,0,0,0,0,0,0,0
pinniped clade,pinniped,family,0,0,0,0,0,0,0,0,0,0
red-necked wallaby,macropus rufogriseus,species,0,0,0,0,0,0,0,0,0,0
