generator,prompt_regime,category,class_name,band,real_test_images,ap_mean,ap_std
sd35-large-turbo,maxlen,local,american black bear,D,2097,0.1737360805273056,0.03224187549550032
sd35-large-turbo,maxlen,local,aye-aye,A,29,0.007820588303729892,0.003720932215878502
sd35-large-turbo,maxlen,local,grevy's zebra,B,224,0.015234895516186953,0.0011084351155116858
sd35-large-turbo,maxlen,local,kinkajou,A,160,0.003040654060896486,0.0024285561527099403
sd35-large-turbo,maxlen,local,lion,D,2097,0.05263424478471279,0.015287233571534194
sd35-large-turbo,maxlen,local,mountain zebra,D,467,0.02801891602575779,0.001013033748273753
sd35-large-turbo,maxlen,local,pangolin family,A,52,0.003291945206001401,0.002610422026622162
sd35-large-turbo,maxlen,local,plains zebra,D,2079,0.15142527967691422,0.0037463174602999656
sd35-large-turbo,maxlen,local,red fox,D,2150,0.07604371756315231,0.012261698343577378
sd35-large-turbo,maxlen,local,ringtail,A,186,0.0013524257228709757,0.00024554399974773824
sd35-large-turbo,maxlen,local,saiga,A,50,0.0005406557902460918,0.0003904359128387865
sd35-large-turbo,maxlen,local,water deer,A,151,0.00512171967420727,0.0020873863866831743
sd35-large,maxlen,local,american black bear,D,2097,0.1834459751844406,0.01777821505147128
sd35-large,maxlen,local,aye-aye,A,29,0.0021892074728384614,0.0008613125022602495
sd35-large,maxlen,local,grevy's zebra,B,224,0.032543850131332874,0.017224393608236986
sd35-large,maxlen,local,kinkajou,A,160,0.005821139784529805,0.0015369194045364199
sd35-large,maxlen,local,lion,D,2097,0.08030625060200691,0.017548709656261267
sd35-large,maxlen,local,mountain zebra,D,467,0.03589645214378834,0.0036729529679326587
sd35-large,maxlen,local,pangolin family,A,52,0.01431720843538642,0.002009125121990635
sd35-large,maxlen,local,plains zebra,D,2079,0.16699997335672379,0.008088349014165035
sd35-large,maxlen,local,red fox,D,2150,0.10279764607548714,0.0020566239617179046
sd35-large,maxlen,local,ringtail,A,186,0.007953396299853921,0.006227834009296066
sd35-large,maxlen,local,saiga,A,50,0.006529214791953564,0.00207903949968062
sd35-large,maxlen,local,water deer,A,151,0.017862887121737003,0.003385096578048332
hidream-i1,maxlen,local,american black bear,D,2097,0.08779121935367584,0.02891083093357819
hidream-i1,maxlen,local,aye-aye,A,29,0.0011273912678007036,0.0007633768499604406
hidream-i1,maxlen,local,grevy's zebra,B,224,0.009847179986536503,0.00851048526340507
hidream-i1,maxlen,local,kinkajou,A,160,0.0005141001602169126,7.95498304995028e-05
hidream-i1,maxlen,local,lion,D,2097,0.03540456295013428,0.0002806769376582988
hidream-i1,maxlen,local,mountain zebra,D,467,0.04709012433886528,0.0036718861258297265
hidream-i1,maxlen,local,pangolin family,A,52,0.021794352680444717,0.00698148057603784
hidream-i1,maxlen,local,plains zebra,D,2079,0.08870532363653183,0.02538956710761427
hidream-i1,maxlen,local,red fox,D,2150,0.05022416263818741,0.0005241224030132866
hidream-i1,maxlen,local,ringtail,A,186,0.0008548919577151537,0.00012754393685580713
hidream-i1,maxlen,local,saiga,A,50,0.0027594903658609837,0.002636681530037005
hidream-i1,maxlen,local,water deer,A,151,0.0074068071553483605,0.00651188746928292
gemini-3.1-flash-image-preview,full,api_full,american black bear,D,2097,0.2548764497041702,0.07669410919076472
gemini-3.1-flash-image-preview,full,api_full,aye-aye,A,29,0.027180556828776996,0.002374744701312453
gemini-3.1-flash-image-preview,full,api_full,grevy's zebra,B,224,0.19077397882938385,0.06924504985171837
gemini-3.1-flash-image-preview,full,api_full,kinkajou,A,160,0.021412776162226994,0.009921241087176227
gemini-3.1-flash-image-preview,full,api_full,lion,D,2097,0.05412503766516844,0.021093639644674426
gemini-3.1-flash-image-preview,full,api_full,mountain zebra,D,467,0.19353297601143518,0.08215635770009082
gemini-3.1-flash-image-preview,full,api_full,pangolin family,A,52,0.00974222676207622,0.008623136791189099
gemini-3.1-flash-image-preview,full,api_full,plains zebra,D,2079,0.27971843381722766,0.06634260514291318
gemini-3.1-flash-image-preview,full,api_full,red fox,D,2150,0.17286498844623566,0.07838648401297206
gemini-3.1-flash-image-preview,full,api_full,ringtail,A,186,0.004429336714868744,0.0026415917537645633
gemini-3.1-flash-image-preview,full,api_full,saiga,A,50,0.033420853627224766,0.020712566005103936
gemini-3.1-flash-image-preview,full,api_full,water deer,A,151,0.012203213137884935,0.008053190016045517
gpt-image-2-low,full,api_full,american black bear,D,2097,0.3262721200784047,0.023324992352099574
gpt-image-2-low,full,api_full,aye-aye,A,29,0.04495436636110147,0.02706695289040299
gpt-image-2-low,full,api_full,grevy's zebra,B,224,0.19014677902062735,0.009203365986722578
gpt-image-2-low,full,api_full,kinkajou,A,160,0.020185652499397595,0.004664214004610507
gpt-image-2-low,full,api_full,lion,D,2097,0.1313620333870252,0.02559774505377126
gpt-image-2-low,full,api_full,mountain zebra,D,467,0.21916925410429636,0.03574011786518155
