common_name,scientific_name,level
sika deer,cervus nippon,species
sloth bear,melursus ursinus,species
snow leopard,panthera uncia,species
south american coati,nasua nasua,species
spectacled bear,tremarctos ornatus,species
spilogale species,spilogale,genus
spotted hyaena,crocuta crocuta,species
springbok,antidorcas marsupialis,species
squirrel family,sciuridae,family
steenbok,raphicerus campestris,species
striped hyaena,hyaena hyaena,species
striped skunk,mephitis mephitis,species
sun bear,helarctos malayanus,species
swamp wallaby,wallabia bicolor,species
tayra,eira barbara,species
thomson's gazelle,eudorcas thomsonii,species
tiger,panthera tigris,species
vervet monkey,chlorocebus pygerythrus,species
walrus,odobenus rosmarus,species
water deer,hydropotes inermis,species
waterbuck,kobus ellipsiprymnus,species
weasel species,mustela,genus
western gray squirrel,sciurus griseus,species
white-nosed coati,nasua narica,species
white-tailed deer,odocoileus virginianus,species
wild boar,sus scrofa,species
wild cat,felis silvestris,species
wolverine,gulo gulo,species
woodchuck,marmota monax,species
yak,bos grunniens,species
yellow-bellied marmot,marmota flaviventris,species
