common_name,scientific_name,level,image_count,mean_confidence,min_confidence,median_confidence
walrus,odobenus rosmarus,species,0,0.000,0.000,0.000
water deer,hydropotes inermis,species,0,0.000,0.000,0.000
waterbuck,kobus ellipsiprymnus,species,199,0.906,0.657,0.943
weasel species,mustela,genus,58,0.759,0.667,0.762
western gray squirrel,sciurus griseus,species,220,0.929,0.653,0.971
white-nosed coati,nasua narica,species,81,0.835,0.663,0.835
white-tailed deer,odocoileus virginianus,species,695,0.894,0.650,0.935
wild boar,sus scrofa,species,325,0.898,0.652,0.948
wild cat,felis silvestris,species,36,0.799,0.657,0.814
wolverine,gulo gulo,species,42,0.811,0.650,0.812
woodchuck,marmota monax,species,220,0.910,0.656,0.948
yak,bos grunniens,species,0,0.000,0.000,0.000
yellow-bellied marmot,marmota flaviventris,species,189,0.892,0.651,0.925
