common_name,scientific_name,level,gbif_pass,inaturalist_pass,wikimedia_pass,openimages_pass,total_pass,total_imgs,after_buffer,status,gap,top_failure_reasons
meerkat,suricata suricatta,species,11,137,0,0,148,633,118,low,1382,quality_grade 'casual' ∉ {'research'}(287); prediction_source 'detector' (need 'classifier')(80); no animal detected (conf ≥ 0.6)(18)
kirk's dik-dik,madoqua kirkii,species,89,66,0,0,155,288,124,low,1376,prediction_source 'classifier+rollup_to_genus' (need 'classifier')(33); prediction_source 'classifier+rollup_to_family' (need 'classifier')(18); prediction_source 'detector' (need 'classifier')(11)
dhole,cuon alpinus,species,48,109,0,0,157,302,126,low,1374,quality_grade 'needs_id' ∉ {'research'}(40); quality_grade 'casual' ∉ {'research'}(25); prediction_source 'classifier+rollup_to_family' (need 'classifier')(12)
roan antelope,hippotragus equinus,species,7,156,0,0,163,362,130,low,1370,prediction_source 'detector' (need 'classifier')(52); prediction_source 'classifier+rollup_to_family' (need 'classifier')(38); quality_grade 'casual' ∉ {'research'}(14)
fisher,pekania pennanti,species,67,99,0,0,166,965,133,low,1367,quality_grade 'needs_id' ∉ {'research'}(164); too small: 500×281 (min 320px on short side)(121); no animal detected (conf ≥ 0.6)(96)
kinkajou,potos flavus,species,10,164,1,0,175,544,140,low,1360,prediction_source 'detector' (need 'classifier')(77); quality_grade 'needs_id' ∉ {'research'}(56); no animal detected (conf ≥ 0.6)(44)
caracal,caracal caracal,species,30,145,2,0,177,456,142,low,1358,no animal detected (conf ≥ 0.6)(62); quality_grade 'needs_id' ∉ {'research'}(38); quality_grade 'casual' ∉ {'research'}(30)
grevy's zebra,equus grevyi,species,77,102,0,0,179,275,143,low,1357,quality_grade 'casual' ∉ {'research'}(42); prediction_source 'classifier+rollup_to_genus' (need 'classifier')(16); too small: 500×281 (min 320px on short side)(5)
serval,leptailurus serval,species,66,115,4,0,185,351,148,low,1352,quality_grade 'casual' ∉ {'research'}(61); no animal detected (conf ≥ 0.6)(25); quality_grade 'needs_id' ∉ {'research'}(19)
raccoon dog,nyctereutes procyonoides,species,34,160,2,0,196,869,157,low,1343,too small: 500×281 (min 320px on short side)(135); quality_grade 'needs_id' ∉ {'research'}(107); prediction_source 'detector' (need 'classifier')(78)
bat-eared fox,otocyon megalotis,species,37,166,0,0,203,474,162,low,1338,prediction_source 'classifier+rollup_to_family' (need 'classifier')(35); quality_grade 'casual' ∉ {'research'}(35); no animal detected (conf ≥ 0.6)(23)
kob,kobus kob,species,49,154,0,0,203,345,162,low,1338,prediction_source 'classifier+rollup_to_family' (need 'classifier')(40); prediction_source 'detector' (need 'classifier')(16); prediction_source 'classifier+rollup_to_order' (need 'classifier')(9)
chimpanzee,pan troglodytes,species,62,143,1,0,206,561,165,low,1335,quality_grade 'casual' ∉ {'research'}(148); no animal detected (conf ≥ 0.6)(71); prediction_source 'classifier+rollup_to_order' (need 'classifier')(29)
wild cat,felis silvestris,species,122,85,2,0,209,535,167,low,1333,prediction_source 'classifier+rollup_to_genus' (need 'classifier')(93); effectively grayscale (mean HSV saturation=0.0 < 15.0)(30); prediction_source 'classifier+rollup_to_family' (need 'classifier')(27)
ring-tailed lemur,lemur catta,species,32,208,0,0,240,644,192,low,1308,quality_grade 'casual' ∉ {'research'}(212); prediction_source 'detector' (need 'classifier')(57); no animal detected (conf ≥ 0.6)(36)
baird's tapir,tapirus bairdii,species,66,183,0,0,249,673,199,low,1301,no animal detected (conf ≥ 0.6)(141); quality_grade 'casual' ∉ {'research'}(95); too small: 281×500 (min 320px on short side)(34)
ocelot,leopardus pardalis,species,158,92,0,0,250,740,200,low,1300,quality_grade 'casual' ∉ {'research'}(90); quality_grade 'needs_id' ∉ {'research'}(66); no animal detected (conf ≥ 0.6)(57)
ringtail,bassariscus astutus,species,29,226,0,0,255,1397,204,low,1296,quality_grade 'needs_id' ∉ {'research'}(319); no animal detected (conf ≥ 0.6)(213); too small: 500×281 (min 320px on short side)(151)
quokka,setonix brachyurus,species,17,241,0,0,258,472,206,low,1294,prediction_source 'detector' (need 'classifier')(62); prediction_source 'classifier+rollup_to_class' (need 'classifier')(36); prediction_source 'classifier+rollup_to_order' (need 'classifier')(19)
genet genus,genetta,genus,22,252,2,0,276,1320,221,low,1279,quality_grade 'needs_id' ∉ {'research'}(272); too small: 500×281 (min 320px on short side)(181); no animal detected (conf ≥ 0.6)(99)
dromedary camel,camelus dromedarius,species,144,134,1,0,279,694,223,low,1277,quality_grade 'casual' ∉ {'research'}(257); no animal detected (conf ≥ 0.6)(27); prediction_source 'detector' (need 'classifier')(16)
sable antelope,hippotragus niger,species,44,242,0,0,286,575,229,low,1271,prediction_source 'classifier+rollup_to_family' (need 'classifier')(73); quality_grade 'casual' ∉ {'research'}(57); prediction_source 'detector' (need 'classifier')(44)
blackbuck,antilope cervicapra,species,40,260,0,0,300,662,240,low,1260,prediction_source 'classifier+rollup_to_family' (need 'classifier')(80); quality_grade 'casual' ∉ {'research'}(57); prediction_source 'detector' (need 'classifier')(46)
bornean orangutan,pongo pygmaeus,species,102,225,1,0,328,690,262,low,1238,no animal detected (conf ≥ 0.6)(92); quality_grade 'casual' ∉ {'research'}(88); no animal detection(57)
